symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumalated_quantity,order_trade_time
FORMUSDT,BUY,LIMIT,IOC,440.8,1.286900,1.269900,FILLED,101.2,440.8,1759087242472
LIGHTUSDT,SELL,LIMIT,IOC,166,0.9713200,0.9934353,FILLED,11,166,1759087243124
FORMUSDT,BUY,LIMIT,IOC,477.1,1.288745,1.269159,FILLED,96.8,477.1,1759087244973
HIFIUSDT,BUY,LIMIT,IOC,891,0.1502300,0.1475958,FILLED,117,891,1759087248258
MUSDT,BUY,LIMIT,IOC,6,2.4590000,2.4224000,FILLED,3,6,1759087251399
LIGHTUSDT,BUY,LIMIT,IOC,154,1.0084900,1.0007159,FILLED,91,154,1759087251499
LIGHTUSDT,BUY,LIMIT,IOC,10,1.0104400,1.0037860,FILLED,3,10,1759087252647
ICNTUSDT,SELL,LIMIT,IOC,138,0.2195000,0.2225000,FILLED,47,138,1759087253054
LIGHTUSDT,BUY,LIMIT,IOC,117,1.0112900,1.0069800,FILLED,117,117,1759087253657
IDOLUSDT,BUY,LIMIT,IOC,1863,0.0349800,0.0344800,FILLED,189,1863,1759087263105
BUSDT,SELL,LIMIT,IOC,816,0.2705000,0.2729998,FILLED,1,816,1759087265404
LIGHTUSDT,SELL,LIMIT,IOC,158,0.9760200,0.9895200,FILLED,158,158,1759087265627
KAITOUSDT,BUY,LIMIT,IOC,15.9,1.478200,1.464228,FILLED,4.6,15.9,1759087267118
HIFIUSDT,BUY,LIMIT,IOC,7383,0.1610100,0.1474870,FILLED,6302,7383,1759087267750
LIGHTUSDT,SELL,LIMIT,IOC,11,0.9735100,0.9884900,FILLED,11,11,1759087269651
HIFIUSDT,BUY,LIMIT,IOC,46158,0.1506600,0.1474914,FILLED,45,46158,1759087273214
HIFIUSDT,BUY,LIMIT,IOC,2555,0.1505500,0.1477756,FILLED,1439,2555,1759087280427
HIFIUSDT,BUY,LIMIT,IOC,25200,0.1506400,0.1479551,FILLED,972,25200,1759087282399
ZORAUSDT,BUY,LIMIT,IOC,51371,0.0598300,0.0592978,FILLED,1356,51371,1759087282695
DOODUSDT,BUY,LIMIT,IOC,1274,0.0046175,0.0045552,FILLED,1274,1274,1759087289059
DOODUSDT,BUY,LIMIT,IOC,1433,0.0046198,0.0045553,FILLED,1433,1433,1759087290128
ALPINEUSDT,SELL,LIMIT,IOC,91.1,5.527500,5.608034,FILLED,14.4,91.1,1759087304138
HIFIUSDT,SELL,LIMIT,IOC,1144,0.1414500,0.1432300,FILLED,1144,1144,1759087305094
SQDUSDT,SELL,LIMIT,IOC,1506,0.1170900,0.1187671,FILLED,436,1506,1759087306072
HIFIUSDT,SELL,LIMIT,IOC,3885,0.1411400,0.1440473,FILLED,278,3885,1759087308211
HIFIUSDT,SELL,LIMIT,IOC,143,0.1410200,0.1425139,FILLED,93,143,1759087314094
HIFIUSDT,SELL,LIMIT,IOC,34176,0.1404700,0.1430782,FILLED,244,34176,1759087315194
FORMUSDT,BUY,LIMIT,IOC,179.9,1.285438,1.265635,FILLED,63.7,179.9,1759087316097
LIGHTUSDT,SELL,LIMIT,IOC,389,0.9742045,0.9923559,FILLED,50,389,1759087316097
HIFIUSDT,SELL,LIMIT,IOC,40,0.1401600,0.1413300,FILLED,40,40,1759087322115
DENTUSDT,BUY,LIMIT,IOC,47543,0.000635,0.000625,FILLED,47543,47543,1759087322243
SQDUSDT,SELL,LIMIT,IOC,313,0.1170200,0.1188000,FILLED,250,313,1759087322263
HIFIUSDT,SELL,LIMIT,IOC,107,0.1396200,0.1416600,FILLED,107,107,1759087323223
HIFIUSDT,SELL,LIMIT,IOC,94,0.1391700,0.1421300,FILLED,94,94,1759087324573
SUIUSDT,BUY,LIMIT,IOC,488.7,3.233000,3.200947,FILLED,109.0,488.7,1759087328275
ICNTUSDT,SELL,LIMIT,IOC,8459,0.2185000,0.2210709,FILLED,81,8459,1759087330303
THEUSDT,BUY,LIMIT,IOC,1891.1,0.4307000,0.4243000,FILLED,481.9,1891.1,1759087335247
UBUSDT,SELL,LIMIT,IOC,5522,0.0262360,0.0265446,FILLED,2781,5522,1759087371453
MYXUSDT,BUY,LIMIT,IOC,1,15.4900000,14.7660000,FILLED,1,1,1759087371453
ICNTUSDT,SELL,LIMIT,IOC,172,0.2178000,0.2212000,FILLED,15,172,1759087376576
SKYUSDT,SELL,LIMIT,IOC,4016,0.0680300,0.0686800,FILLED,2107,4016,1759087377569
HANAUSDT,SELL,LIMIT,IOC,3229,0.0601000,0.0611865,FILLED,62,3229,1759087380679
DOODUSDT,BUY,LIMIT,IOC,1209,0.0046374,0.0045808,FILLED,1209,1209,1759087382264
UBUSDT,SELL,LIMIT,IOC,11111,0.0261850,0.0264980,FILLED,11111,11111,1759087382282
SQDUSDT,SELL,LIMIT,IOC,11352,0.1170600,0.1187000,FILLED,2676,11352,1759087390333
BARDUSDT,SELL,LIMIT,IOC,1466,0.9842000,0.9940865,FILLED,87,1466,1759087390333
ICNTUSDT,SELL,LIMIT,IOC,197,0.2174000,0.2205000,FILLED,113,197,1759087392199
LIGHTUSDT,BUY,LIMIT,IOC,15,1.0064700,0.9945300,FILLED,15,15,1759087392597
SQDUSDT,SELL,LIMIT,IOC,5789,0.1169700,0.1186531,FILLED,2305,5789,1759087394397
DOODUSDT,BUY,LIMIT,IOC,157579,0.0046549,0.0046129,FILLED,5552,157579,1759087394511
XNYUSDT,SELL,LIMIT,IOC,2959,0.0073030,0.0074110,FILLED,2959,2959,1759087395182
DOODUSDT,BUY,LIMIT,IOC,118759,0.0046607,0.0046118,FILLED,17589,118759,1759087395523
BLESSUSDT,BUY,LIMIT,IOC,2652,0.0384530,0.0379990,FILLED,852,2652,1759087396309
ICNTUSDT,SELL,LIMIT,IOC,829,0.2169166,0.2198462,FILLED,514,829,1759087405976
0GUSDT,SELL,LIMIT,IOC,44,3.6236000,3.6573545,FILLED,2,44,1759087409133
BARDUSDT,SELL,LIMIT,IOC,25,0.9832000,0.9910000,FILLED,25,25,1759087409318
ICNTUSDT,SELL,LIMIT,IOC,5157,0.2166000,0.2198888,FILLED,1261,5157,1759087409381
0GUSDT,SELL,LIMIT,IOC,296,3.6232000,3.6571956,FILLED,42,296,1759087410313
ICNTUSDT,SELL,LIMIT,IOC,239,0.2165000,0.2190000,FILLED,239,239,1759087414118
LIGHTUSDT,BUY,LIMIT,IOC,471,1.0118500,0.9967061,FILLED,32,471,1759087414663
ICNTUSDT,SELL,LIMIT,IOC,248,0.2161000,0.2190000,FILLED,248,248,1759087416367
DMCUSDT,SELL,LIMIT,IOC,74,0.0032570,0.0033050,FILLED,74,74,1759087417327
HANAUSDT,SELL,LIMIT,IOC,7743,0.0599900,0.0608664,FILLED,933,7743,1759087418279
ICNTUSDT,SELL,LIMIT,IOC,3924,0.2158000,0.2187084,FILLED,2245,3924,1759087419353
TAUSDT,SELL,LIMIT,IOC,1418,0.0691700,0.0702700,FILLED,1418,1418,1759087431145
ICNTUSDT,SELL,LIMIT,IOC,603,0.2151000,0.2183000,FILLED,224,603,1759087437356
DOODUSDT,BUY,LIMIT,IOC,1419,0.0046677,0.0046105,FILLED,1419,1419,1759087445463
BERAUSDT,BUY,LIMIT,IOC,126.8,2.874000,2.847000,FILLED,119.7,126.8,1759087468343
FLOCKUSDT,BUY,LIMIT,IOC,920,0.3042000,0.3017213,FILLED,30,920,1759087473271
LIGHTUSDT,SELL,LIMIT,IOC,43,0.9752500,0.9895837,FILLED,27,43,1759087477303
XPLUSDT,SELL,LIMIT,IOC,62,1.3676000,1.3812000,FILLED,62,62,1759087490096
LIGHTUSDT,SELL,LIMIT,IOC,953,0.9731700,0.9893318,FILLED,143,953,1759087499677
BERAUSDT,BUY,LIMIT,IOC,132.7,2.878000,2.854868,FILLED,99.9,132.7,1759087501113
FORMUSDT,BUY,LIMIT,IOC,2717.3,1.292000,1.276397,FILLED,298.4,2717.3,1759087503165
THEUSDT,BUY,LIMIT,IOC,2013.1,0.4314000,0.4249000,FILLED,338.3,2013.1,1759087504560
FORMUSDT,BUY,LIMIT,IOC,257.3,1.292200,1.275358,FILLED,8.9,257.3,1759087505245
BERAUSDT,BUY,LIMIT,IOC,0.2,2.883000,2.856000,FILLED,0.2,0.2,1759087507047
BERAUSDT,BUY,LIMIT,IOC,0.3,2.883000,2.857000,FILLED,0.3,0.3,1759087510250
UBUSDT,SELL,LIMIT,IOC,14676,0.0260460,0.0263564,FILLED,1447,14676,1759087510615
BERAUSDT,BUY,LIMIT,IOC,0.2,2.884000,2.855000,FILLED,0.2,0.2,1759087511272
BLESSUSDT,BUY,LIMIT,IOC,450,0.0390520,0.0386030,FILLED,450,450,1759087517519
ORDERUSDT,BUY,LIMIT,IOC,1008,0.2678500,0.2650243,FILLED,604,1008,1759087518612
ASTERUSDT,BUY,LIMIT,IOC,1000,1.8816000,1.8634711,FILLED,233,1000,1759087520158
THEUSDT,BUY,LIMIT,IOC,246.9,0.4319000,0.4251000,FILLED,246.9,246.9,1759087538216
FORMUSDT,BUY,LIMIT,IOC,353.4,1.297500,1.279100,FILLED,102.1,353.4,1759087547172
DOODUSDT,SELL,LIMIT,IOC,7792,0.0045096,0.0045612,FILLED,7792,7792,1759087549161
WIFUSDT,BUY,LIMIT,IOC,12.1,0.7392000,0.7313000,FILLED,12.1,12.1,1759087555110
FORMUSDT,BUY,LIMIT,IOC,88.7,1.299800,1.281136,FILLED,32.5,88.7,1759087555144
AKEUSDT,SELL,LIMIT,IOC,34583,0.0016736,0.0016973,FILLED,14492,34583,1759087557101
ASTERUSDT,BUY,LIMIT,IOC,24,1.8847000,1.8686000,FILLED,24,24,1759087557718
FORMUSDT,BUY,LIMIT,IOC,24.9,1.301000,1.281800,FILLED,24.9,24.9,1759087558564
MIRAUSDT,SELL,LIMIT,IOC,270,1.0660000,1.0764000,FILLED,4,270,1759087561086
ASTERUSDT,BUY,LIMIT,IOC,21,1.8866000,1.8681000,FILLED,13,21,1759087564526
LIGHTUSDT,SELL,LIMIT,IOC,36,0.9694800,0.9823397,FILLED,23,36,1759087565362
LIGHTUSDT,SELL,LIMIT,IOC,10,0.9682800,0.9810200,FILLED,10,10,1759087566520
LIGHTUSDT,SELL,LIMIT,IOC,62,0.9674900,0.9818827,FILLED,45,62,1759087569170
UBUSDT,SELL,LIMIT,IOC,1070,0.0259700,0.0263230,FILLED,1070,1070,1759087569435
BERAUSDT,BUY,LIMIT,IOC,1394.4,2.885000,2.857849,FILLED,390.8,1394.4,1759087577183
LIGHTUSDT,SELL,LIMIT,IOC,59,0.9649000,0.9776100,FILLED,59,59,1759087578146
HIFIUSDT,BUY,LIMIT,IOC,10311,0.1485200,0.1461009,FILLED,353,10311,1759087579436
LIGHTUSDT,SELL,LIMIT,IOC,19,0.9632548,0.9810605,FILLED,11,19,1759087580933
LIGHTUSDT,SELL,LIMIT,IOC,45,0.9602100,0.9708100,FILLED,45,45,1759087590319
LIGHTUSDT,BUY,LIMIT,IOC,4171,0.9930000,0.9762723,FILLED,2,4171,1759087601393
